Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,0.726111,0.729100,0.724559,0.726200,0.726200,0
2022-03-02,0.726058,0.729020,0.724412,0.726143,0.726143,0
2022-03-03,0.729270,0.734800,0.727640,0.729341,0.729341,0
2022-03-04,0.733630,0.737517,0.730320,0.733700,0.733700,0
2022-03-07,0.739208,0.743749,0.731960,0.739481,0.739481,0
2022-03-08,0.732930,0.734790,0.724659,0.732850,0.732850,0
2022-03-09,0.727200,0.733800,0.726830,0.726792,0.726792,0
2022-03-10,0.731910,0.736312,0.728910,0.731690,0.731690,0
2022-03-11,0.736540,0.736570,0.730460,0.736600,0.736600,0
2022-03-14,0.729570,0.729682,0.722760,0.729650,0.729650,0
2022-03-15,0.720100,0.722670,0.716670,0.719870,0.719870,0
2022-03-16,0.719042,0.727310,0.718100,0.719100,0.719100,0
2022-03-17,0.728969,0.738940,0.728528,0.728880,0.728880,0
2022-03-18,0.738160,0.741098,0.736279,0.738100,0.738100,0
2022-03-21,0.741021,0.742512,0.737490,0.740999,0.740999,0
2022-03-22,0.739459,0.745000,0.737580,0.739579,0.739579,0
2022-03-23,0.746340,0.749901,0.745079,0.746230,0.746230,0
2022-03-24,0.750200,0.752660,0.746780,0.749918,0.749918,0
2022-03-25,0.751117,0.753630,0.749630,0.751428,0.751428,0
2022-03-28,0.751823,0.753977,0.746742,0.751823,0.751823,0
2022-03-29,0.749950,0.751569,0.746219,0.749950,0.749950,0
2022-03-30,0.751467,0.753620,0.750508,0.751467,0.751467,0
2022-03-31,0.750300,0.751470,0.747139,0.750300,0.750300,0
2022-04-01,0.749193,0.752700,0.747340,0.749193,0.749193,0
2022-04-04,0.748649,0.755641,0.748391,0.748649,0.748649,0
2022-04-05,0.754390,0.766070,0.753640,0.754390,0.754390,0
2022-04-06,0.758570,0.759600,0.753477,0.758570,0.758570,0
2022-04-07,0.750508,0.751260,0.746750,0.750508,0.750508,0
2022-04-08,0.747848,0.749300,0.742720,0.747848,0.747848,0
2022-04-11,0.744430,0.746100,0.741878,0.744651,0.744651,0
2022-04-12,0.741510,0.749400,0.740012,0.741532,0.741532,0
2022-04-13,0.745500,0.747496,0.739579,0.745500,0.745500,0
2022-04-14,0.745190,0.746993,0.739902,0.745150,0.745150,0
2022-04-15,0.741015,0.741800,0.739480,0.741015,0.741015,0
2022-04-18,0.739382,0.739800,0.735150,0.739382,0.739382,0
2022-04-19,0.735759,0.740010,0.734640,0.735759,0.735759,0
2022-04-20,0.739399,0.745718,0.737570,0.739399,0.739399,0
2022-04-21,0.744700,0.745690,0.737380,0.744700,0.744700,0
2022-04-22,0.736111,0.737000,0.725047,0.736111,0.736111,0
2022-04-25,0.723694,0.723338,0.713600,0.723694,0.723694,0
2022-04-26,0.717850,0.722872,0.714240,0.717850,0.717850,0
2022-04-27,0.714600,0.719011,0.710369,0.714600,0.714600,0
2022-04-28,0.712570,0.716130,0.705570,0.712570,0.712570,0
2022-04-29,0.710884,0.718000,0.709500,0.710884,0.710884,0
2022-05-02,0.706539,0.708220,0.703408,0.706539,0.706539,0
2022-05-03,0.705100,0.714102,0.705400,0.705100,0.705100,0
2022-05-04,0.710379,0.715020,0.709139,0.710379,0.710379,0
2022-05-05,0.725290,0.726528,0.708978,0.725290,0.725290,0
2022-05-06,0.712100,0.713300,0.706380,0.712100,0.712100,0
2022-05-09,0.704700,0.704700,0.697050,0.704700,0.704700,0
2022-05-10,0.695739,0.698600,0.691280,0.695739,0.695739,0
2022-05-11,0.693600,0.705189,0.693001,0.693600,0.693600,0
2022-05-12,0.692750,0.695200,0.684470,0.692750,0.692750,0
2022-05-13,0.687191,0.692521,0.686672,0.687191,0.687191,0
2022-05-16,0.694618,0.695920,0.687570,0.694618,0.694618,0
2022-05-17,0.697282,0.704300,0.697350,0.697282,0.697282,0
2022-05-18,0.703284,0.704722,0.698260,0.703284,0.703284,0
2022-05-19,0.695900,0.706829,0.695640,0.695900,0.695900,0
2022-05-20,0.704150,0.707300,0.700476,0.704150,0.704150,0
2022-05-23,0.706289,0.712570,0.705980,0.706289,0.706289,0
2022-05-24,0.708898,0.710440,0.705920,0.708898,0.708898,0
2022-05-25,0.710320,0.711940,0.703611,0.710320,0.710320,0
2022-05-26,0.708940,0.711100,0.705820,0.708940,0.708940,0
2022-05-27,0.709879,0.716600,0.709300,0.709879,0.709879,0
2022-05-30,0.716281,0.720300,0.715830,0.716281,0.716281,0
2022-05-31,0.719520,0.720340,0.715139,0.719520,0.719520,0
2022-06-01,0.718262,0.723029,0.715610,0.718262,0.718262,0
2022-06-02,0.717360,0.725789,0.714148,0.717360,0.717360,0
2022-06-03,0.726900,0.728210,0.720690,0.726900,0.726900,0
2022-06-06,0.720492,0.723380,0.719021,0.720492,0.720492,0
2022-06-07,0.718861,0.723810,0.715780,0.718861,0.718861,0
2022-06-08,0.722060,0.723442,0.717660,0.722060,0.722060,0
2022-06-09,0.718649,0.719476,0.711501,0.718649,0.718649,0
2022-06-10,0.709819,0.713900,0.704030,0.709819,0.709819,0
2022-06-13,0.701828,0.703349,0.692440,0.701828,0.701828,0
2022-06-14,0.694160,0.697000,0.687640,0.694160,0.694160,0
2022-06-15,0.688990,0.695800,0.688791,0.688990,0.688990,0
2022-06-16,0.701690,0.703482,0.694530,0.701690,0.701690,0
2022-06-17,0.704050,0.704020,0.689820,0.704050,0.704050,0
2022-06-20,0.695300,0.699610,0.692700,0.695300,0.695300,0
2022-06-21,0.696950,0.699500,0.693500,0.696950,0.696950,0
2022-06-22,0.696180,0.696150,0.688222,0.696180,0.696180,0
2022-06-23,0.690522,0.692620,0.686988,0.690522,0.690522,0
2022-06-24,0.690350,0.695701,0.689042,0.690350,0.690350,0
2022-06-27,0.694338,0.694900,0.690918,0.694338,0.694338,0
2022-06-28,0.692252,0.696461,0.691381,0.692252,0.692252,0
2022-06-29,0.690440,0.692008,0.686300,0.690440,0.690440,0
2022-06-30,0.688047,0.691329,0.685430,0.688047,0.688047,0
2022-07-01,0.689760,0.690350,0.676558,0.689760,0.689760,0
2022-07-04,0.681580,0.689000,0.679569,0.681580,0.681580,0
2022-07-05,0.687380,0.689513,0.676540,0.687380,0.687380,0
2022-07-06,0.679320,0.682449,0.676770,0.679320,0.679320,0
2022-07-07,0.678600,0.684978,0.676530,0.678600,0.678600,0
2022-07-08,0.684900,0.687351,0.679620,0.684900,0.684900,0
2022-07-11,0.684580,0.684600,0.671790,0.684580,0.684580,0
2022-07-12,0.674332,0.677860,0.671249,0.674332,0.674332,0
2022-07-13,0.674700,0.680370,0.672830,0.674700,0.674700,0
2022-07-14,0.673230,0.678700,0.668320,0.673230,0.673230,0
2022-07-15,0.675489,0.680550,0.672030,0.675489,0.675489,0
2022-07-18,0.681477,0.685420,0.679470,0.681477,0.681477,0
2022-07-19,0.681020,0.690818,0.680300,0.681020,0.681020,0
2022-07-20,0.689798,0.693010,0.688420,0.689798,0.689798,0
2022-07-21,0.688738,0.691800,0.685989,0.688738,0.688738,0
2022-07-22,0.692290,0.697530,0.689550,0.692290,0.692290,0
2022-07-25,0.690469,0.696476,0.688378,0.690469,0.690469,0
2022-07-26,0.695120,0.698324,0.692348,0.695120,0.695120,0
2022-07-27,0.694739,0.695894,0.691611,0.694739,0.694739,0
2022-07-28,0.699490,0.701607,0.695739,0.699490,0.699490,0
2022-07-29,0.700084,0.703150,0.691440,0.700084,0.700084,0
2022-08-01,0.697122,0.704650,0.697122,0.697122,0.697122,0
2022-08-02,0.702390,0.703060,0.691482,0.702390,0.702390,0
2022-08-03,0.689030,0.694541,0.688710,0.689030,0.689030,0
2022-08-04,0.693900,0.699105,0.693620,0.693900,0.693900,0
2022-08-05,0.695920,0.697470,0.687230,0.695920,0.695920,0
2022-08-08,0.690250,0.700840,0.689931,0.690250,0.690250,0
2022-08-09,0.698770,0.699496,0.696602,0.698770,0.698770,0
2022-08-10,0.695701,0.710300,0.694770,0.695701,0.695701,0
2022-08-11,0.707814,0.713600,0.706380,0.707814,0.707814,0
